validation_reward_epoch,epoch,step,reward,total_reward,loss,episode_reward
0.0,0,1,,,,
,24,49,0.0,3.0,0.007703934330493212,1.0
,49,99,0.0,5.0,0.008458799682557583,1.0
,74,149,0.0,7.0,0.03092624433338642,
,99,199,0.0,10.0,0.02288115955889225,2.0
,124,249,0.0,12.0,0.0216914601624012,
,149,299,0.0,15.0,0.02790474146604538,
,174,349,0.0,18.0,0.0531156063079834,
,199,399,0.0,21.0,0.035869475454092026,
,224,449,0.0,24.0,0.045709338039159775,
,249,499,0.0,26.0,0.10648766160011292,
,274,549,0.0,30.0,0.13358289003372192,
,299,599,0.0,32.0,0.0501348040997982,
,324,649,0.0,35.0,0.131490096449852,2.0
,349,699,0.0,38.0,0.07487881928682327,0.0
,374,749,0.0,41.0,0.21094757318496704,3.0
,399,799,0.0,45.0,0.18744058907032013,
,424,849,0.0,49.0,0.16448122262954712,
,449,899,0.0,52.0,0.33087486028671265,
,474,949,0.0,56.0,0.13331186771392822,
,499,999,0.0,59.0,0.3389837145805359,
5.0,500,1001,,,,
,524,1049,0.0,62.0,0.17737017571926117,
,549,1099,0.0,66.0,0.16511490941047668,
,574,1149,0.0,69.0,0.12598757445812225,
,599,1199,0.0,73.0,0.4445354640483856,
,624,1249,0.0,77.0,0.21395859122276306,
,649,1299,0.0,81.0,0.21038559079170227,
,674,1349,0.0,85.0,0.7763726711273193,
,699,1399,0.0,88.0,0.6929131150245667,0.0
,724,1449,0.0,91.0,0.32794058322906494,
,749,1499,0.0,95.0,0.6605954170227051,
,774,1549,0.0,98.0,0.5796959400177002,
,799,1599,0.0,101.0,0.8886247873306274,
,824,1649,0.0,105.0,0.21204055845737457,
,849,1699,0.0,109.0,0.18132056295871735,
,874,1749,0.0,113.0,1.1347283124923706,
,899,1799,0.0,117.0,0.6452623009681702,
,924,1849,0.0,120.0,0.33422452211380005,
,949,1899,0.0,125.0,0.6599186062812805,
,974,1949,0.0,127.0,0.3602396547794342,
,999,1999,0.0,131.0,0.33337512612342834,
5.0,1000,2001,,,,
,1024,2049,0.0,135.0,0.16856814920902252,
,1049,2099,0.0,139.0,0.1212897002696991,1.0
,1074,2149,0.0,143.0,0.208540678024292,
,1099,2199,0.0,147.0,0.9819631576538086,
,1124,2249,0.0,150.0,0.16796168684959412,
,1149,2299,0.0,154.0,0.17674940824508667,
,1174,2349,0.0,158.0,0.26834261417388916,
,1199,2399,0.0,162.0,0.4480312764644623,
,1224,2449,0.0,166.0,0.12222329527139664,
,1249,2499,0.0,170.0,0.25534588098526,
,1274,2549,0.0,173.0,1.0824769735336304,
,1299,2599,0.0,177.0,0.17895668745040894,
,1324,2649,0.0,181.0,0.16818875074386597,
,1349,2699,0.0,185.0,0.29215991497039795,
,1374,2749,0.0,189.0,0.12464605271816254,
,1399,2799,0.0,192.0,0.211172416806221,
,1424,2849,0.0,196.0,0.23314277827739716,
,1449,2899,0.0,200.0,0.4032245874404907,
,1474,2949,0.0,205.0,0.6609314680099487,
,1499,2999,0.0,208.0,0.14017125964164734,
3.0,1500,3001,,,,
,1524,3049,0.0,211.0,0.920974612236023,
,1549,3099,0.0,215.0,0.16204509139060974,
,1574,3149,0.0,220.0,0.15396107733249664,5.0
,1599,3199,0.0,224.0,0.15957826375961304,
,1624,3249,0.0,228.0,0.09787793457508087,1.0
,1649,3299,0.0,232.0,0.21260009706020355,
,1674,3349,0.0,236.0,0.06211347132921219,
,1699,3399,0.0,240.0,0.11387348175048828,
,1724,3449,0.0,244.0,0.1291569620370865,3.0
,1749,3499,0.0,248.0,0.15165558457374573,
,1774,3549,0.0,252.0,0.14473490417003632,
,1799,3599,0.0,256.0,0.15162283182144165,
,1824,3649,0.0,260.0,0.19440853595733643,
,1849,3699,0.0,264.0,0.10085827112197876,
,1874,3749,0.0,268.0,0.07711653411388397,
,1899,3799,0.0,272.0,0.05879763141274452,
,1924,3849,0.0,276.0,0.06929892301559448,
,1949,3899,0.0,280.0,0.09887392818927765,
,1974,3949,0.0,284.0,0.06099355220794678,
,1999,3999,0.0,288.0,0.15050838887691498,1.0
6.0,2000,4001,,,,
,2024,4049,0.0,292.0,0.10858442634344101,
,2049,4099,0.0,296.0,0.19196264445781708,
,2074,4149,0.0,300.0,0.2295786291360855,
,2099,4199,0.0,303.0,0.15664710104465485,
,2124,4249,0.0,307.0,0.05735115334391594,
,2149,4299,0.0,312.0,0.07102648168802261,
,2174,4349,0.0,315.0,0.12428842484951019,
