validation_reward_epoch,epoch,step,reward,total_reward,loss,episode_reward
0.0,0,1,,,,
,24,49,0.0,0.0,0.005096498506461521,
,49,99,0.0,1.0,0.009109141251552051,
,74,149,0.0,3.0,0.006775957719249875,
,99,199,0.0,6.0,0.008462695290035885,
,124,249,0.0,9.0,0.005231593036101835,
,149,299,0.0,14.0,0.009153373893906571,
,174,349,0.0,18.0,0.009825937206472814,
,199,399,0.0,21.0,0.01237237120505693,
,224,449,0.0,25.0,0.027198115560184175,
,249,499,0.0,30.0,0.015846511549359774,
,274,549,0.0,34.0,0.013964171053946586,
,299,599,0.0,38.0,0.02045262313390754,
,324,649,0.0,42.0,0.027942220733362874,
,349,699,0.0,46.0,0.01851872219663485,
,374,749,0.0,50.0,0.012653430186911657,
,399,799,0.0,53.0,0.028923173244995368,
,424,849,0.0,57.0,0.020651077382214337,
,449,899,1.0,62.0,0.014252551111954476,
,474,949,0.0,65.0,0.008134842493861153,
,499,999,0.0,69.0,0.03958804085756762,
3.0,500,1001,,,,
,524,1049,0.0,73.0,0.005304878689830669,
,549,1099,0.0,77.0,0.02180578705635398,
,574,1149,0.0,81.0,0.022503466942539907,
,599,1199,0.0,85.0,0.02542911305601082,3.0
,624,1249,0.0,89.0,0.025492664659045722,
,649,1299,0.0,93.0,0.07337500786678716,5.0
,674,1349,0.0,97.0,0.03502263109627005,
,699,1399,0.0,101.0,0.035407387711875425,
,724,1449,0.0,105.0,0.021664175838308087,
,749,1499,0.0,109.0,0.04507097733702517,
,774,1549,0.0,112.0,0.031327271774451416,
,799,1599,0.0,116.0,0.030456690570814973,
,824,1649,0.0,120.0,0.01980158363324082,
,849,1699,0.0,124.0,0.03421225170583545,
,874,1749,0.0,128.0,0.04211429613853126,
,899,1799,0.0,132.0,0.013926268034202056,
,924,1849,0.0,135.0,0.012433497214756888,
,949,1899,0.0,139.0,0.022371664509732044,
,974,1949,0.0,143.0,0.1100930010697698,
,999,1999,0.0,147.0,0.022080287454780176,
3.0,1000,2001,,,,
,1024,2049,0.0,151.0,0.017305222261996475,
,1049,2099,0.0,154.0,0.024228321962181616,
,1074,2149,0.0,158.0,0.01928847938674079,
,1099,2199,0.0,162.0,0.04507858879157445,
,1124,2249,0.0,165.0,0.017295426135204274,
,1149,2299,0.0,170.0,0.016201377080405303,
,1174,2349,0.0,174.0,0.012729960299074678,
,1199,2399,0.0,177.0,0.02413921065465704,
,1224,2449,0.0,181.0,0.06688743392932289,
,1249,2499,0.0,185.0,0.035226456339628384,
,1274,2549,0.0,189.0,0.008969079882552501,
,1299,2599,0.0,193.0,0.04776904420279456,
,1324,2649,0.0,196.0,0.07673835091927421,
,1349,2699,0.0,200.0,0.02898381350957356,
,1374,2749,0.0,205.0,0.09956066089403126,5.0
,1399,2799,0.0,208.0,0.025854293237645896,
,1424,2849,0.0,212.0,0.02191384803585939,
,1449,2899,0.0,216.0,0.008716705592815517,
,1474,2949,0.0,220.0,0.009123187890260776,
,1499,2999,0.0,224.0,0.02277251959060444,
2.0,1500,3001,,,,
,1524,3049,0.0,228.0,0.05910916578333025,2.0
,1549,3099,0.0,232.0,0.04212642919020233,
,1574,3149,0.0,236.0,0.009718948871196773,
,1599,3199,0.0,240.0,0.02710928574325759,
,1624,3249,0.0,243.0,0.015330202235110942,
,1649,3299,0.0,247.0,0.008319968184479106,
,1674,3349,0.0,251.0,0.009323167902544201,
,1699,3399,0.0,255.0,0.03259319673309717,
,1724,3449,0.0,260.0,0.025617444533058267,
,1749,3499,0.0,263.0,0.017582799983103133,
,1774,3549,0.0,268.0,0.02571750842860298,
,1799,3599,0.0,272.0,0.012738894936209739,
,1824,3649,0.0,275.0,0.014577801257815425,
,1849,3699,0.0,279.0,0.012701325682148597,
,1874,3749,0.0,284.0,0.020701472569305615,
,1899,3799,0.0,288.0,0.012711018571226612,
,1924,3849,0.0,292.0,0.014862793961444083,
,1949,3899,0.0,296.0,0.026623061720932317,
,1974,3949,0.0,300.0,0.050261881479283316,
,1999,3999,0.0,304.0,0.011711037546823455,
5.0,2000,4001,,,,
,2024,4049,0.0,308.0,0.0076027774128608954,
,2049,4099,0.0,313.0,0.013340978951163124,
,2074,4149,0.0,316.0,0.005167173007250753,
,2099,4199,0.0,320.0,0.015029747111148113,
,2124,4249,1.0,325.0,0.006057199954656793,
,2149,4299,1.0,329.0,0.011891937479704748,
,2174,4349,0.0,332.0,0.01684947839115796,
,2199,4399,0.0,336.0,0.01871334272154094,
,2224,4449,0.0,340.0,0.020821839234362642,
,2249,4499,0.0,344.0,0.04132516238221302,
,2274,4549,0.0,349.0,0.02315108203300785,
,2299,4599,0.0,353.0,0.008191474068652812,
,2324,4649,0.0,356.0,0.011185944640115235,
,2349,4699,0.0,360.0,0.008032915607765735,
,2374,4749,0.0,364.0,0.013264889935024926,
,2399,4799,0.0,368.0,0.027372772901669992,
,2424,4849,0.0,372.0,0.007063626616247731,4.0
,2449,4899,0.0,376.0,0.016665048176680266,
,2474,4949,0.0,379.0,0.015274820819024263,
,2499,4999,0.0,384.0,0.04784345626635756,
3.0,2500,5001,,,,
,2524,5049,0.0,388.0,0.01085728305420727,
,2549,5099,0.0,391.0,0.014697057978895419,
,2574,5149,0.0,395.0,0.05690272058481341,
,2599,5199,0.0,399.0,0.02270382872993514,
,2624,5249,0.0,403.0,0.014158060776819529,
,2649,5299,0.0,407.0,0.0167719799467895,5.0
,2674,5349,0.0,411.0,0.02019047826823899,
,2699,5399,1.0,415.0,0.018002953466918645,
,2724,5449,0.0,419.0,0.01590408757405629,
,2749,5499,0.0,423.0,0.03807655029051561,
,2774,5549,0.0,427.0,0.00736897413091372,
,2799,5599,0.0,431.0,0.011109007268381745,
,2824,5649,0.0,435.0,0.012242231637194432,
,2849,5699,0.0,439.0,0.03012065928035532,
,2874,5749,0.0,443.0,0.015919536983344026,
,2899,5799,0.0,447.0,0.005092713764423339,
,2924,5849,0.0,451.0,0.016297018876638245,
,2949,5899,0.0,456.0,0.01892633527566571,
,2974,5949,0.0,460.0,0.012978076902045508,
,2999,5999,0.0,464.0,0.014261569896342597,
3.0,3000,6001,,,,
,3024,6049,0.0,468.0,0.02545116571918779,
,3049,6099,0.0,472.0,0.007306611827118408,
,3074,6149,0.0,476.0,0.00779807528983895,
,3099,6199,0.0,480.0,0.01019004302375484,
,3124,6249,0.0,484.0,0.022814021889087162,
,3149,6299,0.0,488.0,0.047078915999368066,
,3174,6349,0.0,492.0,0.04066175155650039,
,3199,6399,0.0,495.0,0.018868135103610642,
,3224,6449,0.0,500.0,0.016203179655197984,
,3249,6499,0.0,504.0,0.013637069932260323,
,3274,6549,0.0,508.0,0.007466084757487475,
,3299,6599,0.0,512.0,0.02357764103424985,
,3324,6649,0.0,517.0,0.05189117800925402,
,3349,6699,0.0,521.0,0.012921855599489912,
,3374,6749,0.0,525.0,0.00426889177148976,
,3399,6799,0.0,529.0,0.005745334972468877,
,3424,6849,0.0,533.0,0.019630347573124405,
,3449,6899,0.0,537.0,0.0027561542031930464,
,3474,6949,0.0,541.0,0.005259893227904951,
,3499,6999,0.0,545.0,0.06045951892270481,
3.0,3500,7001,,,,
,3524,7049,0.0,549.0,0.00893811521728098,1.0
,3549,7099,0.0,553.0,0.005534977197165896,
,3574,7149,0.0,557.0,0.040317797129598654,
,3599,7199,0.0,561.0,0.016357163023110563,
,3624,7249,0.0,565.0,0.008653357417026634,
,3649,7299,0.0,569.0,0.008590944984222392,
,3674,7349,1.0,574.0,0.10193108255043559,
,3699,7399,0.0,577.0,0.02035010647026582,
,3724,7449,0.0,581.0,0.032402257134451024,
,3749,7499,0.0,585.0,0.006703114838093067,
,3774,7549,0.0,589.0,0.011187327445750963,
,3799,7599,0.0,593.0,0.008150828294679679,
,3824,7649,0.0,597.0,0.008085170400503527,
,3849,7699,0.0,601.0,0.10466045978842452,
,3874,7749,1.0,605.0,0.006790406573887606,
,3899,7799,0.0,608.0,0.013769601732900726,
,3924,7849,0.0,612.0,0.08646588720625675,
,3949,7899,0.0,616.0,0.01375397835210211,
,3974,7949,0.0,620.0,0.034959913380408575,
,3999,7999,0.0,623.0,0.08182983289623708,
6.0,4000,8001,,,,
,4024,8049,0.0,628.0,0.021410378601790847,
,4049,8099,0.0,632.0,0.0448822948450417,
,4074,8149,1.0,636.0,0.021706739662920922,
,4099,8199,0.0,639.0,0.062071254757903364,
,4124,8249,0.0,644.0,0.014684274198375345,
,4149,8299,0.0,648.0,0.015175760249354596,7.0
,4174,8349,0.0,652.0,0.011695446086207125,
,4199,8399,0.0,655.0,0.030694939855643852,
,4224,8449,0.0,660.0,0.05074919724516157,5.0
,4249,8499,1.0,664.0,0.013389323724892821,
,4274,8549,0.0,668.0,0.007928592375445052,
,4299,8599,0.0,671.0,0.01752457749394392,
,4324,8649,0.0,675.0,0.013577178830582107,
,4349,8699,0.0,679.0,0.01358310745120138,
,4374,8749,0.0,683.0,0.018724035015476894,
,4399,8799,0.0,687.0,0.012239366904598287,
,4424,8849,0.0,691.0,0.026434213591423533,
,4449,8899,0.0,695.0,0.016666368165659105,
,4474,8949,0.0,700.0,0.05701284197769832,
,4499,8999,0.0,704.0,0.011485882246986037,
4.0,4500,9001,,,,
,4524,9049,0.0,708.0,0.017205889379076425,
,4549,9099,0.0,712.0,0.019392305689489117,5.0
,4574,9149,0.0,716.0,0.01999670180736041,
,4599,9199,0.0,720.0,0.019194540843253935,
,4624,9249,0.0,724.0,0.016739341846223756,
,4649,9299,0.0,728.0,0.030500630268805125,
,4674,9349,0.0,732.0,0.010344177434538318,
,4699,9399,0.0,736.0,0.020243781409999495,
,4724,9449,0.0,740.0,0.006316567274717622,
,4749,9499,0.0,745.0,0.006232508735175597,
,4774,9549,0.0,749.0,0.016749956613654388,
,4799,9599,0.0,753.0,0.013807503304347095,
,4824,9649,0.0,757.0,0.005495817347801498,
,4849,9699,0.0,760.0,0.014742557000891955,
,4874,9749,0.0,765.0,0.004796531626495142,
,4899,9799,0.0,769.0,0.00802715361162515,
,4924,9849,0.0,773.0,0.016600016051517896,
,4949,9899,0.0,776.0,0.021943814151840445,
,4974,9949,0.0,780.0,0.005346271766782322,
,4999,9999,0.0,784.0,0.010311810293589603,
5.0,5000,10001,,,,
,5024,10049,0.0,789.0,0.011280117955572315,
,5049,10099,0.0,792.0,0.014050582645906109,
,5074,10149,0.0,796.0,0.012071819310738148,
,5099,10199,1.0,801.0,0.0068744642752083885,
,5124,10249,0.0,805.0,0.03287793370628419,6.0
,5149,10299,0.0,809.0,0.00936410945716274,
,5174,10349,0.0,813.0,0.01042455199772229,
,5199,10399,0.0,817.0,0.010756321228567197,
,5224,10449,0.0,822.0,0.009106855137634403,
,5249,10499,0.0,826.0,0.004966400159112278,
,5274,10549,0.0,830.0,0.0058562407462471105,
,5299,10599,0.0,834.0,0.007214666954371678,
,5324,10649,0.0,838.0,0.008522267753078287,
,5349,10699,0.0,842.0,0.004045646495814613,
,5374,10749,0.0,847.0,0.005827671349801532,
,5399,10799,0.0,851.0,0.00408191474869012,
,5424,10849,0.0,855.0,0.004849836610197862,
,5449,10899,0.0,859.0,0.008799177673163643,
,5474,10949,0.0,863.0,0.005873123199121547,
,5499,10999,0.0,867.0,0.001724865506245436,
3.0,5500,11001,,,,
,5524,11049,0.0,871.0,0.0024886148708050918,
,5549,11099,0.0,875.0,0.010719339693674036,
,5574,11149,0.0,879.0,0.009320107614061475,
,5599,11199,0.0,884.0,0.0032040460708683085,
,5624,11249,0.0,888.0,0.005787381816711468,3.0
,5649,11299,0.0,892.0,0.006480075425310458,4.0
,5674,11349,0.0,896.0,0.00586022324767527,
,5699,11399,1.0,900.0,0.04869216239318515,
,5724,11449,0.0,903.0,0.009746463270226071,
,5749,11499,0.0,908.0,0.005851204998395748,
,5774,11549,0.0,911.0,0.006718448301188531,
,5799,11599,0.0,915.0,0.023698332123633464,
,5824,11649,0.0,919.0,0.021126451325112625,
,5849,11699,0.0,923.0,0.03550778794305179,
,5874,11749,0.0,927.0,0.009907788045611252,
,5899,11799,0.0,932.0,0.003706050319077085,
,5924,11849,0.0,935.0,0.0022705208117520257,
,5949,11899,0.0,940.0,0.0241412464522721,
,5974,11949,0.0,944.0,0.005576436035001018,
,5999,11999,0.0,948.0,0.006947684637464321,
5.0,6000,12001,,,,
,6024,12049,0.0,952.0,0.027238024372098824,
,6049,12099,0.0,956.0,0.015936118637842285,
,6074,12149,0.0,961.0,0.0028211307895815796,
,6099,12199,0.0,964.0,0.009226605209310504,
,6124,12249,0.0,968.0,0.003499454953978673,
,6149,12299,1.0,973.0,0.025842476866387517,
,6174,12349,0.0,977.0,0.008767643022114672,
,6199,12399,0.0,981.0,0.009015488438276518,
,6224,12449,0.0,985.0,0.01605639310788207,
,6249,12499,0.0,989.0,0.007932263924929817,5.0
,6274,12549,0.0,993.0,0.006467009367831665,
,6299,12599,0.0,996.0,0.005156083160691847,
,6324,12649,0.0,1000.0,0.004638751145685809,
,6349,12699,0.0,1004.0,0.03338342067909682,
,6374,12749,0.0,1008.0,0.03886536918313835,
