validation_reward_epoch,epoch,step,reward,total_reward,loss,episode_reward
0.0,0,1,,,,
,24,49,0.0,1.0,0.01619113099991544,
,49,99,0.0,2.0,0.007886238655995385,
,74,149,0.0,4.0,0.007525823563483534,
,99,199,0.0,7.0,0.015613089663470189,
,124,249,0.0,9.0,0.038995131765144686,
,149,299,0.0,10.0,0.025645889990178347,
,174,349,0.0,14.0,0.04052214857138559,
,199,399,0.0,18.0,0.06599971981459966,
,224,449,0.0,21.0,0.09862826565443829,
,249,499,0.0,24.0,0.10456739400151957,
,274,549,0.0,27.0,0.08448320537900227,
,299,599,0.0,29.0,0.13771288843254745,
,324,649,0.0,32.0,0.15472324343417496,
,349,699,0.0,35.0,0.13786876010025584,
,374,749,0.0,39.0,0.25347206764855307,1.0
,399,799,0.0,41.0,0.41997715837441313,
,424,849,0.0,44.0,0.3799498453213861,
,449,899,1.0,49.0,0.3576434686534374,
,474,949,0.0,52.0,0.7598749869254308,2.0
,499,999,0.0,56.0,0.2876056708944536,
1.0,500,1001,,,,
,524,1049,0.0,58.0,0.10564685854696096,
,549,1099,0.0,62.0,0.2005271204459105,
,574,1149,0.0,64.0,0.22437678015371437,
,599,1199,0.0,68.0,0.5628176714680068,
,624,1249,0.0,71.0,0.23835331484217306,
,649,1299,0.0,75.0,0.6464256653287096,
,674,1349,0.0,79.0,0.08613094158105755,3.0
,699,1399,0.0,82.0,0.2030499788328703,
,724,1449,0.0,85.0,0.135457484523697,
,749,1499,0.0,90.0,0.052293236514483,
,774,1549,0.0,93.0,0.18131629342972577,
,799,1599,0.0,96.0,0.1689947893080448,
,824,1649,0.0,99.0,0.08816421440827826,2.0
,849,1699,0.0,103.0,0.10522616292565974,
,874,1749,0.0,106.0,0.09145722553482444,
,899,1799,0.0,110.0,0.08971675259138011,
,924,1849,0.0,114.0,0.23867722155804755,
,949,1899,0.0,118.0,0.09087418859905903,
,974,1949,0.0,122.0,0.13785500779006274,
,999,1999,0.0,125.0,0.16419433768212952,
5.0,1000,2001,,,,
,1024,2049,0.0,129.0,0.045730184005108414,
,1049,2099,0.0,132.0,0.10658541217864127,
,1074,2149,0.0,136.0,0.07673733428935325,
,1099,2199,0.0,139.0,0.0818125944733769,
,1124,2249,0.0,144.0,0.08876148049433046,
,1149,2299,0.0,147.0,0.10658324367299733,
,1174,2349,0.0,151.0,0.1008675843949954,
,1199,2399,0.0,155.0,0.045983679827160465,
,1224,2449,1.0,160.0,0.12957516744532863,
,1249,2499,0.0,164.0,0.04316838962888476,
,1274,2549,0.0,168.0,0.06270098115770491,
,1299,2599,0.0,171.0,0.16581126826381082,
,1324,2649,0.0,175.0,0.11171552402750781,
,1349,2699,0.0,179.0,0.04410133021291893,
,1374,2749,0.0,183.0,0.07044772235269986,
,1399,2799,0.0,187.0,0.15784001379064716,
,1424,2849,0.0,191.0,0.07529086055215845,
,1449,2899,0.0,195.0,0.15479411955795686,
,1474,2949,0.0,199.0,0.03434949420139506,
,1499,2999,0.0,203.0,0.08439716343671126,
4.0,1500,3001,,,,
,1524,3049,0.0,207.0,0.09085565689066916,
,1549,3099,0.0,211.0,0.0711498393342847,
,1574,3149,0.0,215.0,0.024247978710274842,
,1599,3199,0.0,219.0,0.1102640381802927,
,1624,3249,0.0,223.0,0.02178349096636797,
,1649,3299,0.0,226.0,0.04728899689869847,
,1674,3349,0.0,230.0,0.03605647638993451,
,1699,3399,0.0,234.0,0.04872120148075601,
,1724,3449,0.0,238.0,0.042797950225120805,
,1749,3499,0.0,242.0,0.04515238307320521,
,1774,3549,0.0,246.0,0.04077550536706395,
,1799,3599,0.0,251.0,0.027630395882659357,6.0
,1824,3649,0.0,255.0,0.008986206180501792,
,1849,3699,0.0,259.0,0.031142051550994088,
,1874,3749,0.0,262.0,0.04531828439476892,
,1899,3799,0.0,266.0,0.019140219932636593,2.0
,1924,3849,0.0,269.0,0.10969440121925919,
,1949,3899,1.0,274.0,0.1403510453030022,
,1974,3949,0.0,278.0,0.03254948665826567,
,1999,3999,0.0,282.0,0.030631449601666125,
3.0,2000,4001,,,,
