validation_reward_epoch,epoch,step,reward,total_reward,loss,episode_reward
0.0,0,1,,,,
,24,49,0.0,2.0,0.05249989032745361,
,49,99,0.0,5.0,0.024197641760110855,
,74,149,0.0,8.0,0.09617182612419128,
,99,199,0.0,10.0,0.05776907876133919,
,124,249,0.0,12.0,0.04818572476506233,
,149,299,0.0,14.0,0.03689191862940788,
,174,349,0.0,18.0,0.07175058126449585,0.0
,199,399,0.0,20.0,0.11826709657907486,1.0
,224,449,0.0,23.0,0.28035157918930054,2.0
,249,499,0.0,26.0,0.15697255730628967,
,274,549,0.0,29.0,0.16087312996387482,
,299,599,0.0,32.0,0.2441520392894745,
,324,649,0.0,34.0,0.6330682635307312,
,349,699,0.0,37.0,0.607128381729126,
,374,749,1.0,41.0,0.20055349171161652,
,399,799,0.0,44.0,0.5978012681007385,
,424,849,0.0,47.0,0.3066437840461731,
,449,899,0.0,50.0,0.6591432094573975,
,474,949,0.0,54.0,0.7610767483711243,
,499,999,0.0,57.0,0.5354284048080444,
2.0,500,1001,,,,
,524,1049,0.0,60.0,1.0325565338134766,
,549,1099,0.0,64.0,0.7405241131782532,
,574,1149,0.0,67.0,0.4863923490047455,
,599,1199,0.0,71.0,0.3314044177532196,
,624,1249,1.0,75.0,0.48195675015449524,
,649,1299,0.0,78.0,1.3850805759429932,
,674,1349,0.0,82.0,0.3446483016014099,
,699,1399,0.0,86.0,0.94753098487854,
,724,1449,0.0,89.0,0.4598817229270935,
,749,1499,0.0,92.0,0.7521603107452393,
,774,1549,0.0,95.0,1.0424160957336426,
,799,1599,1.0,100.0,1.58401358127594,
,824,1649,0.0,102.0,0.7212224006652832,
,849,1699,0.0,105.0,0.9245615005493164,
,874,1749,0.0,109.0,1.141074538230896,
,899,1799,0.0,113.0,1.0711227655410767,
,924,1849,0.0,117.0,0.5972562432289124,
,949,1899,0.0,120.0,0.9355967044830322,
,974,1949,0.0,123.0,1.2269632816314697,
,999,1999,0.0,127.0,1.8695875406265259,
3.0,1000,2001,,,,
,1024,2049,0.0,131.0,1.6157199144363403,
,1049,2099,0.0,133.0,1.0996017456054688,
,1074,2149,0.0,137.0,3.439183235168457,
,1099,2199,0.0,141.0,0.705937385559082,
,1124,2249,0.0,145.0,2.7383034229278564,
,1149,2299,0.0,149.0,0.3986510634422302,2.0
,1174,2349,0.0,152.0,1.18482506275177,
,1199,2399,0.0,156.0,0.4629374146461487,
,1224,2449,0.0,160.0,0.9369182586669922,
,1249,2499,0.0,164.0,0.4010593593120575,
,1274,2549,0.0,168.0,0.4372056722640991,
,1299,2599,0.0,171.0,0.5426594018936157,
,1324,2649,0.0,174.0,0.9640862941741943,
,1349,2699,0.0,178.0,0.5111936330795288,0.0
,1374,2749,0.0,182.0,0.7445819973945618,
,1399,2799,0.0,186.0,1.3221687078475952,
,1424,2849,0.0,190.0,0.59028160572052,
,1449,2899,0.0,194.0,0.35953906178474426,
,1474,2949,0.0,197.0,0.39116641879081726,
,1499,2999,0.0,201.0,0.20113450288772583,
2.0,1500,3001,,,,
,1524,3049,0.0,205.0,1.791778564453125,
,1549,3099,0.0,209.0,1.1066012382507324,
,1574,3149,0.0,213.0,0.6622602939605713,
,1599,3199,0.0,217.0,0.29326021671295166,
,1624,3249,0.0,221.0,0.512381911277771,
,1649,3299,0.0,225.0,0.3079112768173218,2.0
,1674,3349,0.0,229.0,0.22037847340106964,
,1699,3399,0.0,232.0,0.9850451350212097,
,1724,3449,1.0,237.0,0.293781578540802,
,1749,3499,0.0,240.0,0.9560206532478333,
,1774,3549,0.0,244.0,0.4793800115585327,
,1799,3599,0.0,249.0,0.46946361660957336,
,1824,3649,0.0,252.0,0.17057883739471436,
,1849,3699,0.0,256.0,0.2599043548107147,
,1874,3749,0.0,260.0,0.2685736417770386,
,1899,3799,0.0,264.0,0.32278144359588623,
,1924,3849,0.0,269.0,0.17236213386058807,
,1949,3899,0.0,273.0,0.39334404468536377,
,1974,3949,0.0,276.0,0.1461520940065384,
,1999,3999,0.0,280.0,0.24360942840576172,
4.0,2000,4001,,,,
,2024,4049,0.0,284.0,0.33642351627349854,
,2049,4099,0.0,288.0,0.33090341091156006,
,2074,4149,0.0,292.0,0.3231579065322876,
,2099,4199,0.0,296.0,0.2779138386249542,
,2124,4249,0.0,300.0,0.16182853281497955,
,2149,4299,0.0,303.0,0.13058847188949585,
,2174,4349,0.0,307.0,0.2087426483631134,
,2199,4399,0.0,311.0,0.1012229174375534,
,2224,4449,0.0,315.0,0.1646316647529602,
,2249,4499,0.0,319.0,0.13678114116191864,
,2274,4549,0.0,324.0,0.5171651840209961,
,2299,4599,0.0,328.0,0.09831560403108597,
,2324,4649,0.0,332.0,0.5848732590675354,
,2349,4699,0.0,336.0,0.14348499476909637,
,2374,4749,0.0,340.0,0.23799769580364227,
,2399,4799,0.0,345.0,0.061810340732336044,
,2424,4849,1.0,349.0,0.07432311773300171,
,2449,4899,0.0,353.0,0.04426538944244385,
,2474,4949,0.0,357.0,0.07801397144794464,
,2499,4999,1.0,362.0,0.040896400809288025,
7.0,2500,5001,,,,
,2524,5049,0.0,366.0,0.19024521112442017,
,2549,5099,0.0,370.0,0.033007219433784485,
,2574,5149,1.0,375.0,0.05858372151851654,
,2599,5199,0.0,379.0,0.060133542865514755,
,2624,5249,0.0,383.0,0.037023596465587616,
,2649,5299,1.0,388.0,0.048201873898506165,
,2674,5349,0.0,392.0,0.032907165586948395,7.0
,2699,5399,0.0,396.0,0.04359719902276993,
,2724,5449,0.0,400.0,0.024729052558541298,
,2749,5499,0.0,404.0,0.03398798033595085,
,2774,5549,0.0,408.0,0.03976629301905632,
,2799,5599,0.0,412.0,0.1198679581284523,
,2824,5649,0.0,417.0,0.058980848640203476,
,2849,5699,0.0,421.0,0.05075390264391899,
,2874,5749,0.0,424.0,0.08641400933265686,
,2899,5799,0.0,429.0,0.035792265087366104,
,2924,5849,0.0,432.0,0.05559802055358887,
,2949,5899,1.0,437.0,0.04120449349284172,
,2974,5949,0.0,441.0,0.04793848469853401,
,2999,5999,0.0,445.0,0.06553062796592712,
5.0,3000,6001,,,,
,3024,6049,0.0,449.0,0.047452185302972794,
,3049,6099,0.0,453.0,0.04737960547208786,
,3074,6149,0.0,457.0,0.12852509319782257,
,3099,6199,1.0,462.0,0.14566446840763092,
,3124,6249,0.0,466.0,0.246656596660614,
,3149,6299,0.0,470.0,0.037812381982803345,
,3174,6349,0.0,474.0,0.08127213269472122,
,3199,6399,0.0,478.0,0.18521958589553833,
,3224,6449,0.0,482.0,0.15145254135131836,
,3249,6499,0.0,486.0,0.07649347186088562,
,3274,6549,0.0,491.0,0.3576701581478119,
,3299,6599,0.0,495.0,0.24114839732646942,
,3324,6649,0.0,499.0,0.09921726584434509,2.0
,3349,6699,0.0,503.0,0.1285201460123062,
,3374,6749,1.0,508.0,0.05663236603140831,
,3399,6799,0.0,512.0,0.032032310962677,
,3424,6849,1.0,516.0,0.06191103905439377,
,3449,6899,0.0,518.0,0.04106345400214195,
,3474,6949,0.0,522.0,0.07873059809207916,
,3499,6999,0.0,526.0,0.12264963239431381,
3.0,3500,7001,,,,
,3524,7049,0.0,530.0,0.06955987215042114,
,3549,7099,0.0,534.0,0.09701140224933624,
,3574,7149,0.0,538.0,0.11823996156454086,
,3599,7199,0.0,542.0,0.09161052852869034,
,3624,7249,0.0,547.0,0.12079425901174545,
,3649,7299,0.0,551.0,0.05104904994368553,
,3674,7349,0.0,555.0,0.16620592772960663,
,3699,7399,0.0,559.0,0.041680674999952316,
,3724,7449,0.0,564.0,0.19253620505332947,
,3749,7499,0.0,568.0,0.2802189588546753,4.0
,3774,7549,0.0,572.0,0.07141317427158356,
,3799,7599,0.0,576.0,0.15852226316928864,
,3824,7649,0.0,580.0,0.06917393952608109,
,3849,7699,0.0,584.0,0.1571769118309021,
,3874,7749,0.0,588.0,0.12885472178459167,
,3899,7799,0.0,592.0,0.07387546449899673,
,3924,7849,0.0,596.0,0.1493724286556244,
,3949,7899,0.0,600.0,0.09013526141643524,
,3974,7949,0.0,604.0,0.12396518141031265,
,3999,7999,0.0,608.0,0.11580215394496918,
4.0,4000,8001,,,,
,4024,8049,0.0,612.0,0.15537866950035095,
,4049,8099,0.0,616.0,0.07953310012817383,
,4074,8149,0.0,620.0,0.18806689977645874,
,4099,8199,1.0,625.0,0.06441690772771835,
,4124,8249,1.0,629.0,0.16615837812423706,
,4149,8299,0.0,633.0,0.18126565217971802,
,4174,8349,1.0,637.0,0.0772285982966423,
,4199,8399,0.0,641.0,0.4079245328903198,
,4224,8449,0.0,645.0,0.11097176373004913,
,4249,8499,0.0,649.0,0.10024083405733109,
,4274,8549,0.0,653.0,0.06274526566267014,
,4299,8599,1.0,658.0,0.09056547284126282,
,4324,8649,0.0,662.0,0.054906249046325684,
,4349,8699,0.0,666.0,0.0651780292391777,
,4374,8749,1.0,671.0,0.04654368385672569,
,4399,8799,0.0,675.0,0.12191079556941986,
,4424,8849,0.0,679.0,0.05557938292622566,
,4449,8899,0.0,683.0,0.08843939751386642,
,4474,8949,0.0,687.0,0.0323379784822464,
,4499,8999,0.0,692.0,0.02851814776659012,
7.0,4500,9001,,,,
,4524,9049,0.0,696.0,0.04356194660067558,
,4549,9099,0.0,700.0,0.032890718430280685,
,4574,9149,0.0,704.0,0.02430001087486744,
,4599,9199,0.0,708.0,0.062499839812517166,
,4624,9249,0.0,712.0,0.15279701352119446,
,4649,9299,0.0,714.0,0.8554966449737549,
,4674,9349,0.0,718.0,0.2874032258987427,
,4699,9399,0.0,722.0,0.12815631926059723,
,4724,9449,0.0,727.0,0.075543612241745,
,4749,9499,0.0,731.0,0.05201304703950882,
,4774,9549,0.0,735.0,0.16185735166072845,
,4799,9599,0.0,738.0,0.13933546841144562,
,4824,9649,0.0,743.0,0.07269719243049622,
,4849,9699,0.0,747.0,0.08831501007080078,2.0
,4874,9749,0.0,751.0,0.16785277426242828,
,4899,9799,0.0,754.0,0.1049337238073349,
,4924,9849,0.0,758.0,0.05753377452492714,
,4949,9899,0.0,762.0,0.29370465874671936,
,4974,9949,0.0,766.0,0.199895441532135,
,4999,9999,0.0,770.0,0.17637179791927338,
5.0,5000,10001,,,,
,5024,10049,0.0,775.0,0.059031903743743896,
,5049,10099,0.0,778.0,0.04987086355686188,
,5074,10149,0.0,783.0,0.08226467669010162,5.0
,5099,10199,0.0,787.0,0.10965652763843536,
,5124,10249,0.0,791.0,0.23514705896377563,
,5149,10299,0.0,795.0,0.06086531654000282,
,5174,10349,0.0,800.0,0.05963139981031418,
,5199,10399,0.0,803.0,0.04235106334090233,
,5224,10449,0.0,807.0,0.10117614269256592,1.0
,5249,10499,0.0,811.0,0.029955288395285606,
,5274,10549,0.0,815.0,0.05175034701824188,
,5299,10599,0.0,819.0,0.11897911131381989,
,5324,10649,0.0,823.0,0.16893768310546875,
,5349,10699,0.0,828.0,0.070513516664505,
,5374,10749,0.0,832.0,0.04274289309978485,
,5399,10799,0.0,836.0,0.05081714689731598,
,5424,10849,0.0,840.0,0.06377097964286804,
,5449,10899,0.0,844.0,0.1287197321653366,
,5474,10949,0.0,848.0,0.4828362464904785,
