validation_reward_epoch,epoch,step,reward,total_reward,loss
17.0,0,1,,,
,24,49,0.0,0.0,1.637989771552384e-05
,49,99,0.0,0.0,2.0009420040878467e-06
,74,149,0.0,0.0,6.247310579965415e-07
,99,199,0.0,0.0,8.804669846540492e-07
,124,249,0.0,0.0,6.287082214839756e-07
,149,299,0.0,0.0,2.481157537204126e-07
,174,349,0.0,0.0,1.5358278915300616e-07
,199,399,0.0,0.0,2.5268829517699487e-07
,224,449,0.0,0.0,1.5117799989639025e-07
,249,499,0.0,0.0,2.0324765159784874e-07
,274,549,0.0,0.0,1.89818337048564e-07
,299,599,0.0,0.0,1.7186701484206424e-07
,324,649,0.0,0.0,1.2329729770499398e-07
,349,699,0.0,0.0,8.885496782795599e-08
,374,749,0.0,0.0,1.467018364564865e-07
,399,799,0.0,0.0,9.040073933874737e-08
,424,849,0.0,0.0,1.1026391888435683e-07
,449,899,0.0,0.0,9.049373517200365e-08
,474,949,0.0,0.0,7.170306304260521e-08
,499,999,0.0,0.0,5.43809299813347e-08
11.0,500,1001,,,
,524,1049,0.0,0.0,4.9581153405142686e-08
,549,1099,0.0,0.0,5.9101282090523455e-08
,574,1149,0.0,0.0,1.3515747809833556e-07
,599,1199,0.0,0.0,1.4101016176937264e-07
,624,1249,0.0,0.0,1.2429228490873356e-07
,649,1299,0.0,0.0,7.949237357252059e-08
,674,1349,0.0,0.0,1.72873768633508e-07
,699,1399,0.0,0.0,1.1412566891522147e-07
,724,1449,0.0,0.0,9.847000370655223e-08
,749,1499,0.0,0.0,5.046732454161429e-08
,774,1549,0.0,0.0,4.414810973685235e-06
,799,1599,0.0,0.0,7.812584954081103e-06
,824,1649,0.0,0.0,9.775834041647613e-05
,849,1699,0.0,0.0,2.6250304472341668e-06
,874,1749,0.0,0.0,3.7327203017412103e-07
,899,1799,0.0,0.0,8.902246406705672e-08
,924,1849,0.0,0.0,7.428008785836937e-08
,949,1899,0.0,0.0,7.195875184606848e-08
,974,1949,0.0,0.0,4.0785529620279704e-08
,999,1999,0.0,0.0,5.3648250286641996e-08
0.0,1000,2001,,,
,1024,2049,0.0,0.0,4.2791214127646526e-08
,1049,2099,0.0,0.0,3.631514999824503e-08
,1074,2149,0.0,0.0,3.349738619817799e-08
,1099,2199,0.0,0.0,2.804934062794473e-08
,1124,2249,0.0,0.0,2.5331559072583332e-08
,1149,2299,0.0,0.0,4.0897575104281714e-08
,1174,2349,0.0,0.0,2.628264006432346e-08
,1199,2399,0.0,0.0,9.986603544120953e-09
,1224,2449,0.0,0.0,1.4535051384712006e-08
,1249,2499,0.0,0.0,7.849575212048876e-09
,1274,2549,0.0,0.0,2.5395145542006503e-08
,1299,2599,0.0,0.0,1.3315457181306556e-08
,1324,2649,0.0,0.0,1.7176564170995334e-08
,1349,2699,0.0,0.0,7.403472324085669e-08
