validation_reward_epoch,epoch,step,reward,total_reward,loss
0.0,0,1,,,
,24,49,0.0,0.0,1.323828018939821e-05
,49,99,0.0,0.0,5.754955054726452e-06
,74,149,0.0,0.0,5.550755304284394e-06
,99,199,0.0,0.0,2.851022145478055e-06
,124,249,0.0,0.0,3.602797960411408e-06
,149,299,0.0,0.0,5.188888735574437e-06
,174,349,0.0,0.0,1.6428982689831173e-06
,199,399,0.0,0.0,3.215119477317785e-06
,224,449,0.0,0.0,3.6696701499749906e-06
,249,499,0.0,0.0,3.684146349769435e-06
,274,549,0.0,0.0,2.2873227862874046e-06
,299,599,0.0,0.0,2.4207533897424582e-06
,324,649,0.0,0.0,1.5192881619441323e-06
,349,699,0.0,0.0,1.4911697689967696e-06
,374,749,0.0,0.0,1.7401869172317674e-06
,399,799,0.0,0.0,1.2286565151953255e-06
,424,849,0.0,0.0,1.420279886588105e-06
,449,899,0.0,0.0,2.7493607035466994e-07
,474,949,0.0,0.0,2.2769151541979227e-07
,499,999,0.0,0.0,6.492708735095221e-07
1.0,500,1001,,,
,524,1049,0.0,0.0,1.6718674089588603e-07
,549,1099,0.0,0.0,1.6290920257233665e-07
,574,1149,0.0,0.0,5.938733806942764e-07
,599,1199,0.0,0.0,3.3972690971495467e-07
,624,1249,0.0,0.0,2.590857377526845e-07
,649,1299,0.0,0.0,3.576096787583083e-07
,674,1349,0.0,0.0,2.4101075268845307e-07
,699,1399,0.0,0.0,1.2251297221155255e-07
,724,1449,0.0,0.0,7.860705864004558e-08
,749,1499,0.0,0.0,4.6506841044902103e-07
,774,1549,0.0,0.0,4.9028276407625526e-05
,799,1599,0.0,0.0,9.557660632708576e-06
,824,1649,0.0,0.0,3.6397370877239155e-06
,849,1699,0.0,0.0,2.1204748463787837e-06
,874,1749,0.0,0.0,3.323887767692213e-06
,899,1799,0.0,0.0,2.222824150521774e-06
,924,1849,0.0,0.0,3.2981251933961175e-06
,949,1899,0.0,0.0,1.0866724551306106e-06
,974,1949,0.0,0.0,7.478818702111312e-07
,999,1999,0.0,0.0,9.992920695367502e-07
0.0,1000,2001,,,
,1024,2049,0.0,0.0,4.0645201806910336e-05
,1049,2099,0.0,0.0,9.740419955051038e-07
,1074,2149,0.0,0.0,5.819099442305742e-07
,1099,2199,0.0,0.0,4.307993322072434e-07
,1124,2249,0.0,0.0,1.4079109860176686e-06
,1149,2299,0.0,0.0,3.5207514770263515e-07
,1174,2349,0.0,0.0,1.7758425485681073e-07
,1199,2399,0.0,0.0,1.2838735585773975e-07
,1224,2449,0.0,0.0,3.0473250944851316e-07
,1249,2499,0.0,0.0,1.9671806228416244e-07
,1274,2549,0.0,0.0,2.1350327017444215e-07
,1299,2599,0.0,0.0,2.167004282682683e-07
,1324,2649,0.0,0.0,8.398623663197213e-08
,1349,2699,0.0,0.0,1.8704034232541744e-07
,1374,2749,0.0,0.0,2.4408325316471746e-07
,1399,2799,0.0,0.0,3.508113195493934e-07
,1424,2849,0.0,0.0,1.0534918715165986e-07
,1449,2899,0.0,0.0,1.940781402254288e-08
,1474,2949,0.0,0.0,2.311335833837802e-07
,1499,2999,0.0,0.0,1.835841487718426e-07
0.0,1500,3001,,,
,1524,3049,0.0,0.0,1.483416838254925e-07
,1549,3099,0.0,0.0,1.234624402712825e-08
,1574,3149,0.0,0.0,3.6400802372327234e-08
,1599,3199,0.0,0.0,4.404908793276263e-08
,1624,3249,0.0,0.0,3.86696044074597e-08
,1649,3299,0.0,0.0,3.3666967880208176e-08
,1674,3349,0.0,0.0,2.6878987924305875e-08
,1699,3399,0.0,0.0,6.21661655486605e-08
,1724,3449,0.0,0.0,3.138596937901639e-08
,1749,3499,0.0,0.0,1.0906836322988056e-08
,1774,3549,0.0,0.0,1.4786282420686803e-08
,1799,3599,0.0,0.0,7.997044804142206e-09
,1824,3649,0.0,0.0,5.909226885592034e-09
