validation_reward_epoch,epoch,step,reward,total_reward,loss
27.0,0,1,,,
,24,49,0.0,0.0,9.175354291903949e-05
,49,99,0.0,0.0,8.703048626673566e-06
,74,149,0.0,0.0,5.126009621687594e-06
,99,199,0.0,0.0,3.2787005069553142e-06
,124,249,0.0,0.0,1.9293049350032874e-06
,149,299,0.0,0.0,1.8453277134263534e-06
,174,349,0.0,0.0,6.741919933766309e-07
,199,399,0.0,0.0,1.6331660587598917e-06
,224,449,0.0,0.0,7.9071826091854e-07
,249,499,0.0,0.0,9.413606176590882e-07
,274,549,0.0,0.0,7.422165426817345e-07
,299,599,0.0,0.0,3.412773306455136e-07
,324,649,0.0,0.0,5.188442157372864e-07
,349,699,0.0,0.0,4.0210152094914085e-07
,374,749,0.0,0.0,2.9781927369507954e-07
,399,799,0.0,0.0,2.613296664203056e-07
,424,849,0.0,0.0,3.379219212317333e-07
,449,899,0.0,0.0,5.599185969692639e-07
,474,949,0.0,0.0,2.8776622682337416e-07
,499,999,0.0,0.0,2.051814474502408e-07
3.0,500,1001,,,
,524,1049,0.0,0.0,1.0831715300838403e-07
,549,1099,0.0,0.0,2.2806587828060098e-07
,574,1149,0.0,0.0,2.434433857429483e-07
,599,1199,0.0,0.0,2.9834780701097104e-07
,624,1249,0.0,0.0,3.3017249992558536e-07
,649,1299,0.0,0.0,1.4147040008943835e-07
,674,1349,0.0,0.0,1.837847913482948e-07
,699,1399,0.0,0.0,1.1072043297028828e-07
,724,1449,0.0,0.0,1.2708121785374612e-07
,749,1499,0.0,0.0,8.300604106626947e-08
,774,1549,0.0,0.0,1.9747309083754535e-06
,799,1599,0.0,0.0,5.604125259809437e-07
,824,1649,0.0,1.0,4.741235916824334e-06
,849,1699,0.0,1.0,0.00013059499848641664
,874,1749,0.0,1.0,0.00031661115429794823
,899,1799,0.0,2.0,0.00021585988066059297
,924,1849,0.0,2.0,0.0002979242320054112
,949,1899,0.0,2.0,0.0003267846486628529
,974,1949,0.0,2.0,0.00045136210091124504
,999,1999,0.0,3.0,0.00044258353048128745
9.0,1000,2001,,,
,1024,2049,0.0,4.0,0.0009483349021874019
,1049,2099,0.0,5.0,0.00035282064068801387
,1074,2149,0.0,6.0,0.0017457010112629933
,1099,2199,0.0,7.0,0.001194559874949476
,1124,2249,0.0,7.0,0.0010332175020244937
,1149,2299,0.0,8.0,0.0009464764998988948
,1174,2349,0.0,9.0,0.0005585250698586032
,1199,2399,0.0,9.0,0.001905557964602431
,1224,2449,0.0,9.0,0.0006612392981610179
,1249,2499,0.0,10.0,0.0003438799352309504
,1274,2549,0.0,11.0,0.0008925030411063603
,1299,2599,0.0,12.0,0.0009068539687696237
,1324,2649,0.0,12.0,0.0001849413420918959
,1349,2699,0.0,12.0,0.00047852240150568346
,1374,2749,0.0,12.0,0.0015823105649305418
,1399,2799,0.0,12.0,0.00032370109869271147
,1424,2849,0.0,12.0,0.0004649810616856383
,1449,2899,0.0,12.0,0.00037097973260763137
,1474,2949,0.0,13.0,0.000822870152725952
,1499,2999,0.0,14.0,0.0008923433310774547
15.0,1500,3001,,,
,1524,3049,0.0,14.0,0.0011102543498375651
,1549,3099,0.0,15.0,0.0011220316186156497
,1574,3149,0.0,15.0,0.00011577946665246491
,1599,3199,0.0,16.0,0.001071142592151612
,1624,3249,0.0,16.0,0.0005409710361536727
,1649,3299,0.0,18.0,0.002067973456423901
,1674,3349,0.0,19.0,0.001010782806260326
,1699,3399,0.0,20.0,0.0008526672922445311
,1724,3449,0.0,21.0,0.0007223237385773751
,1749,3499,0.0,22.0,0.0006210647035993172
,1774,3549,0.0,23.0,0.0007088161712235936
,1799,3599,0.0,24.0,0.0011639077226519594
,1824,3649,0.0,24.0,0.0005466956845601145
,1849,3699,0.0,24.0,0.0004563705224469898
