validation_reward_epoch,epoch,step,reward,total_reward,loss
6.0,0,1,,,
,24,49,0.0,0.0,2.2929154511075467e-05
,49,99,0.0,0.0,2.4672904146427754e-06
,74,149,0.0,0.0,1.0571515076662763e-06
,99,199,0.0,0.0,1.1090045290984563e-06
,124,249,0.0,0.0,6.746937515345053e-07
,149,299,0.0,0.0,5.685981818714936e-07
,174,349,0.0,0.0,4.5231672629597597e-07
,199,399,0.0,0.0,4.464012306470977e-07
,224,449,0.0,0.0,4.128432635752688e-07
,249,499,0.0,0.0,3.872682157179952e-07
,274,549,0.0,0.0,3.7363196270234766e-07
,299,599,0.0,0.0,2.7313751616020454e-07
,324,649,0.0,0.0,3.3199103199876845e-07
,349,699,0.0,0.0,2.1308333941760793e-07
,374,749,0.0,0.0,2.752254317783809e-07
,399,799,0.0,0.0,2.3344642841038876e-07
,424,849,0.0,0.0,1.7116116168836015e-07
,449,899,0.0,0.0,2.1596835608761467e-07
,474,949,0.0,0.0,2.43827997792323e-07
,499,999,0.0,0.0,1.8478596075510723e-07
5.0,500,1001,,,
,524,1049,0.0,0.0,1.5916515394565067e-07
,549,1099,0.0,0.0,1.4875155329718837e-07
,574,1149,0.0,0.0,1.395878257426375e-07
,599,1199,0.0,0.0,1.0082443679948483e-07
,624,1249,0.0,0.0,1.310079227323513e-07
,649,1299,0.0,0.0,8.542362195385067e-08
,674,1349,0.0,0.0,1.3124029862865427e-07
,699,1399,0.0,0.0,1.468659149850282e-07
,724,1449,0.0,0.0,1.5586478241402801e-07
,749,1499,0.0,0.0,1.2167471652446693e-07
,774,1549,0.0,0.0,1.539310005682637e-06
,799,1599,0.0,0.0,8.037477527977899e-06
,824,1649,0.0,0.0,3.5475286495056935e-06
,849,1699,0.0,0.0,1.386579469908611e-06
,874,1749,0.0,0.0,1.2624524288185057e-06
,899,1799,0.0,0.0,1.5183027244347613e-06
,924,1849,0.0,0.0,8.732585001780535e-07
,949,1899,0.0,0.0,8.594063274358632e-07
,974,1949,0.0,0.0,4.865239020546142e-07
,999,1999,0.0,0.0,3.295446333595464e-07
1.0,1000,2001,,,
,1024,2049,0.0,0.0,3.459570052655181e-07
,1049,2099,0.0,0.0,2.3463596221517946e-07
,1074,2149,0.0,0.0,3.400028845135239e-07
,1099,2199,0.0,0.0,2.128691534153404e-07
,1124,2249,0.0,0.0,1.7673278307483997e-07
,1149,2299,0.0,0.0,1.7479270297826588e-07
,1174,2349,0.0,0.0,7.490879738725198e-08
,1199,2399,0.0,0.0,9.483319729497452e-08
,1224,2449,0.0,0.0,1.1854386627874192e-07
,1249,2499,0.0,0.0,5.521777879380352e-08
,1274,2549,0.0,0.0,2.0658619348523644e-07
,1299,2599,0.0,0.0,1.7937600205186754e-07
,1324,2649,0.0,0.0,9.858315763722203e-08
,1349,2699,0.0,0.0,1.818917070295356e-07
,1374,2749,0.0,0.0,2.408752379778889e-07
,1399,2799,0.0,0.0,1.1095677621142386e-07
,1424,2849,0.0,0.0,7.79516469151531e-08
,1449,2899,0.0,0.0,1.4155824601402855e-07
,1474,2949,0.0,0.0,5.5676100174650855e-08
,1499,2999,0.0,0.0,7.95210794990453e-08
0.0,1500,3001,,,
,1524,3049,0.0,0.0,1.9343090684742492e-07
,1549,3099,0.0,0.0,9.306288717425559e-08
,1574,3149,0.0,0.0,7.967982185164146e-08
,1599,3199,0.0,0.0,8.002837148524122e-08
,1624,3249,0.0,0.0,1.7894815584895696e-07
,1649,3299,0.0,0.0,5.6797951231146726e-08
,1674,3349,0.0,0.0,3.132756276613691e-08
,1699,3399,0.0,0.0,1.8857793548932023e-08
,1724,3449,0.0,0.0,1.2216698763722889e-08
,1749,3499,0.0,0.0,9.550181090389742e-09
,1774,3549,0.0,0.0,1.875947042151438e-08
,1799,3599,0.0,0.0,1.6125593305105212e-08
,1824,3649,0.0,0.0,2.251466035829708e-08
,1849,3699,0.0,0.0,1.4524529134973818e-08
,1874,3749,0.0,0.0,1.6820905557324295e-08
