validation_reward_epoch,epoch,step,reward,total_reward,loss,episode_reward
0.0,0,1,,,,
,24,49,0.0,4.0,0.07742283493280411,
,49,99,0.0,10.0,0.07614580541849136,
,74,149,0.0,12.0,0.07694783806800842,
,99,199,0.0,13.0,0.0812530592083931,
,124,249,0.0,14.0,0.06151609495282173,
,149,299,0.0,16.0,0.07711832225322723,
,174,349,0.0,20.0,0.28532224893569946,
,199,399,0.0,22.0,0.0772954449057579,
,224,449,0.0,22.0,0.4971942901611328,
,249,499,0.0,23.0,0.2299342155456543,
,274,549,0.0,26.0,0.32353582978248596,
,299,599,0.0,32.0,0.308840274810791,
,324,649,0.0,38.0,0.7967624068260193,
,349,699,0.0,41.0,0.5253268480300903,
,374,749,0.0,44.0,0.5746908187866211,
,399,799,0.0,46.0,0.804538905620575,
,424,849,0.0,50.0,0.702827513217926,
,449,899,0.0,54.0,0.7142363786697388,
,474,949,0.0,55.0,1.4621775150299072,4.0
,499,999,0.0,60.0,0.786393404006958,
2.0,500,1001,,,,
,524,1049,0.0,63.0,0.9779546856880188,
,549,1099,0.0,64.0,1.328410267829895,
,574,1149,1.0,70.0,1.3425936698913574,
,599,1199,0.0,73.0,7.90429162979126,
,624,1249,0.0,73.0,1.1882182359695435,
,649,1299,0.0,73.0,1.617377519607544,
,674,1349,0.0,76.0,1.7151203155517578,
,699,1399,0.0,76.0,3.542865753173828,
,724,1449,0.0,78.0,3.30788254737854,
,749,1499,0.0,78.0,1.6040949821472168,
,774,1549,0.0,81.0,6.035129070281982,
,799,1599,0.0,84.0,9.54117488861084,
,824,1649,0.0,89.0,5.9720282554626465,5.0
,849,1699,0.0,90.0,7.006431579589844,
,874,1749,0.0,94.0,19.1492862701416,
,899,1799,0.0,98.0,15.648176193237305,
,924,1849,0.0,104.0,6.100342750549316,
,949,1899,0.0,106.0,9.286009788513184,
,974,1949,0.0,106.0,14.922855377197266,
,999,1999,0.0,109.0,41.89255142211914,
0.0,1000,2001,,,,
,1024,2049,0.0,111.0,25.59048080444336,
,1049,2099,0.0,113.0,41.96061325073242,
,1074,2149,0.0,115.0,25.873546600341797,
,1099,2199,0.0,116.0,20.32608413696289,
,1124,2249,0.0,118.0,14.108194351196289,
,1149,2299,0.0,121.0,22.799589157104492,
,1174,2349,0.0,121.0,25.46037483215332,
,1199,2399,0.0,127.0,180.9359893798828,
,1224,2449,0.0,130.0,55.3511848449707,
,1249,2499,0.0,133.0,15.49023151397705,
,1274,2549,0.0,134.0,149.2803192138672,
,1299,2599,0.0,138.0,125.49600982666016,
,1324,2649,0.0,143.0,218.0983428955078,
,1349,2699,0.0,145.0,1264.18896484375,
,1374,2749,0.0,146.0,5273.2421875,
,1399,2799,0.0,146.0,1242.80126953125,
,1424,2849,0.0,146.0,6969.9033203125,
,1449,2899,0.0,146.0,14989.6162109375,
,1474,2949,0.0,146.0,22533.2109375,
,1499,2999,0.0,146.0,22850.048828125,
0.0,1500,3001,,,,
,1524,3049,0.0,146.0,14735.546875,
,1549,3099,0.0,147.0,12022.7412109375,
,1574,3149,1.0,148.0,9492.0712890625,
,1599,3199,0.0,151.0,8768.4072265625,
,1624,3249,0.0,151.0,22156.634765625,
,1649,3299,0.0,153.0,6562.82275390625,
,1674,3349,0.0,155.0,16475.224609375,4.0
,1699,3399,0.0,158.0,9410.1865234375,
,1724,3449,0.0,158.0,4575.96728515625,
,1749,3499,0.0,159.0,25643.46484375,
,1774,3549,0.0,159.0,15125.435546875,
,1799,3599,0.0,159.0,10483.275390625,
,1824,3649,0.0,159.0,15569.8330078125,
,1849,3699,0.0,159.0,2858.5712890625,
,1874,3749,0.0,159.0,12304.2666015625,
,1899,3799,0.0,159.0,64199.27734375,
,1924,3849,0.0,159.0,361779.21875,
,1949,3899,0.0,159.0,290149.65625,
,1974,3949,0.0,159.0,67612.6796875,
,1999,3999,0.0,159.0,27886.759765625,
0.0,2000,4001,,,,
,2024,4049,0.0,162.0,9905.6220703125,
,2049,4099,0.0,163.0,151906.96875,
,2074,4149,0.0,166.0,106957.1015625,
,2099,4199,0.0,174.0,6547.9130859375,
,2124,4249,0.0,180.0,11829.5126953125,
,2149,4299,0.0,180.0,22658.080078125,
,2174,4349,0.0,181.0,16910.236328125,
,2199,4399,0.0,181.0,17411.515625,
,2224,4449,0.0,181.0,16214.955078125,
,2249,4499,0.0,181.0,8137.5244140625,
,2274,4549,0.0,181.0,7267.57470703125,
,2299,4599,0.0,182.0,29096.806640625,
,2324,4649,0.0,182.0,7374.181640625,
,2349,4699,0.0,183.0,10287.568359375,
,2374,4749,0.0,183.0,6465.59619140625,
,2399,4799,0.0,191.0,2896299.75,
,2424,4849,0.0,199.0,465129.25,
,2449,4899,0.0,202.0,383879.5,
,2474,4949,1.0,203.0,225118.28125,
,2499,4999,0.0,203.0,680489.125,
0.0,2500,5001,,,,
,2524,5049,0.0,203.0,101094.78125,
,2549,5099,0.0,205.0,2171935.0,
,2574,5149,0.0,205.0,800745.6875,
,2599,5199,0.0,206.0,118199.75,
,2624,5249,0.0,206.0,455931.78125,
,2649,5299,0.0,206.0,155350.40625,
,2674,5349,0.0,206.0,138936.828125,
,2699,5399,0.0,206.0,213996.765625,
,2724,5449,0.0,208.0,477847.0625,
,2749,5499,0.0,208.0,236074.0625,
,2774,5549,0.0,208.0,285148.3125,
,2799,5599,0.0,208.0,248312.21875,
,2824,5649,0.0,211.0,166730.09375,
,2849,5699,0.0,211.0,317999.28125,
,2874,5749,0.0,211.0,83617.1640625,
,2899,5799,0.0,211.0,105034.125,
,2924,5849,0.0,213.0,78326.875,
,2949,5899,0.0,214.0,99015.828125,
,2974,5949,0.0,214.0,96615.546875,
,2999,5999,0.0,214.0,72939.71875,
0.0,3000,6001,,,,
,3024,6049,0.0,214.0,67785.390625,
,3049,6099,0.0,214.0,37546.671875,
,3074,6149,0.0,217.0,97988.234375,
,3099,6199,0.0,217.0,51485.3203125,
,3124,6249,0.0,218.0,31988.326171875,
,3149,6299,0.0,219.0,49840.37890625,
,3174,6349,0.0,220.0,42077.01953125,
,3199,6399,0.0,220.0,36561.02734375,
,3224,6449,0.0,221.0,33179.36328125,
,3249,6499,0.0,222.0,11560.5810546875,
,3274,6549,0.0,222.0,11491.0869140625,
,3299,6599,0.0,222.0,5845.8037109375,
,3324,6649,0.0,222.0,11137.140625,
,3349,6699,0.0,223.0,9179.0126953125,
,3374,6749,0.0,223.0,9315.298828125,
,3399,6799,0.0,223.0,7612.9375,
,3424,6849,0.0,224.0,12278.50390625,
,3449,6899,0.0,224.0,6721.97998046875,
,3474,6949,0.0,224.0,5383.92431640625,
,3499,6999,0.0,224.0,4016.01123046875,
3.0,3500,7001,,,,
,3524,7049,0.0,224.0,3432.901611328125,
,3549,7099,0.0,225.0,1687.53515625,
,3574,7149,0.0,227.0,1745.3233642578125,
,3599,7199,0.0,227.0,3819.0947265625,
,3624,7249,0.0,227.0,2424.528564453125,
,3649,7299,0.0,228.0,2186.16796875,
,3674,7349,0.0,229.0,2002.7396240234375,
,3699,7399,0.0,229.0,2923.231201171875,
,3724,7449,0.0,232.0,1175.96484375,0.0
,3749,7499,0.0,232.0,1236.8582763671875,
,3774,7549,0.0,232.0,899.811767578125,
,3799,7599,0.0,232.0,712.3379516601562,
,3824,7649,0.0,235.0,756.572021484375,
,3849,7699,0.0,235.0,798.6438598632812,
,3874,7749,0.0,235.0,448.7331848144531,
,3899,7799,0.0,237.0,641.692138671875,
,3924,7849,0.0,237.0,601.1907348632812,
,3949,7899,0.0,237.0,1864.8326416015625,
,3974,7949,0.0,237.0,527.1924438476562,
,3999,7999,0.0,237.0,664.8111572265625,
2.0,4000,8001,,,,
,4024,8049,0.0,237.0,622.7073364257812,
,4049,8099,0.0,237.0,401.11907958984375,
,4074,8149,0.0,238.0,500.1788635253906,
,4099,8199,0.0,238.0,347.1881103515625,
,4124,8249,0.0,240.0,358.93292236328125,
,4149,8299,0.0,240.0,814.6322631835938,
,4174,8349,0.0,240.0,461.47808837890625,
,4199,8399,0.0,242.0,714.9893798828125,
,4224,8449,0.0,242.0,398.8619384765625,
,4249,8499,0.0,242.0,243.34703063964844,
,4274,8549,0.0,242.0,259.58770751953125,
,4299,8599,0.0,242.0,267.8001708984375,
,4324,8649,0.0,243.0,265.8122253417969,
,4349,8699,0.0,246.0,379.0274658203125,
,4374,8749,0.0,246.0,181.20016479492188,
,4399,8799,0.0,246.0,128.72645568847656,
,4424,8849,0.0,246.0,183.2831573486328,
,4449,8899,0.0,246.0,107.90058898925781,
,4474,8949,0.0,246.0,93.25212860107422,
,4499,8999,0.0,246.0,264.2450256347656,
4.0,4500,9001,,,,
,4524,9049,0.0,249.0,170.0701446533203,
,4549,9099,0.0,249.0,178.6557159423828,
,4574,9149,0.0,249.0,147.2045440673828,
,4599,9199,0.0,250.0,119.40769958496094,
,4624,9249,0.0,250.0,119.48748016357422,
,4649,9299,0.0,250.0,171.9555206298828,
,4674,9349,0.0,250.0,354.2457580566406,
,4699,9399,0.0,251.0,285.1000061035156,
,4724,9449,0.0,251.0,46.792972564697266,
,4749,9499,0.0,251.0,50.94911193847656,
,4774,9549,0.0,252.0,66.93736267089844,
,4799,9599,0.0,252.0,245.88034057617188,
,4824,9649,0.0,252.0,138.0380401611328,
,4849,9699,0.0,253.0,85.0240478515625,
,4874,9749,0.0,255.0,260.34185791015625,
,4899,9799,0.0,255.0,170.6250457763672,
,4924,9849,0.0,255.0,117.32465362548828,
,4949,9899,1.0,257.0,100.06260681152344,
,4974,9949,0.0,257.0,297.7091064453125,
,4999,9999,0.0,257.0,133.55859375,
4.0,5000,10001,,,,
,5024,10049,1.0,258.0,54.6784553527832,
,5049,10099,0.0,258.0,109.42728424072266,
,5074,10149,0.0,258.0,34.084556579589844,
,5099,10199,0.0,258.0,65.5942611694336,
,5124,10249,0.0,260.0,43.97655487060547,
,5149,10299,0.0,263.0,28.86061668395996,
,5174,10349,0.0,263.0,76.42748260498047,
,5199,10399,0.0,263.0,35.055015563964844,
,5224,10449,0.0,264.0,20.33955955505371,
,5249,10499,0.0,267.0,36.56188201904297,
,5274,10549,0.0,267.0,28.199337005615234,
,5299,10599,0.0,267.0,54.44190979003906,
,5324,10649,0.0,267.0,81.91878509521484,
,5349,10699,0.0,267.0,53.72565460205078,
,5374,10749,0.0,268.0,50.56111145019531,
,5399,10799,0.0,270.0,25.82004737854004,
,5424,10849,0.0,270.0,39.32646179199219,
,5449,10899,0.0,270.0,50.394775390625,
