validation_reward_epoch,epoch,step,reward,total_reward,loss,episode_reward
3.0,0,1,,,,
,24,49,0.0,1.0,0.04109600234444113,
,49,99,0.0,1.0,0.06047404875614127,
,74,149,0.0,2.0,0.06059305809235993,
,99,199,0.0,7.0,0.05027555621899679,
,124,249,0.0,10.0,0.04402005591570435,
,149,299,0.0,16.0,0.1034704477139673,
,174,349,0.0,24.0,0.217666394211659,
,199,399,1.0,30.0,0.16311199539326432,
,224,449,0.0,33.0,0.11461547608036454,
,249,499,0.0,34.0,0.1199757830461618,
,274,549,0.0,34.0,0.2729402716101951,
,299,599,0.0,41.0,0.23195335654090302,
,324,649,0.0,46.0,0.21155575410707017,
,349,699,0.0,47.0,0.16623875037728067,
,374,749,0.0,51.0,0.17685313697707275,
,399,799,0.0,56.0,0.1938799642196585,
,424,849,0.0,57.0,0.30630982466459133,
,449,899,0.0,57.0,0.20561511193851784,
,474,949,0.0,59.0,0.2598162841995484,
,499,999,0.0,62.0,0.2824606390340509,
4.0,500,1001,,,,
,524,1049,0.0,65.0,0.2398656106115744,
,549,1099,0.0,69.0,0.1250580010534789,
,574,1149,0.0,71.0,0.23025171036102784,
,599,1199,0.0,77.0,0.29450784225531446,
,624,1249,0.0,77.0,0.20725272039964646,
,649,1299,0.0,78.0,0.26334451703999223,
,674,1349,0.0,78.0,0.13535239047876244,
,699,1399,0.0,81.0,0.5149385369341545,
,724,1449,0.0,85.0,0.42115886765402877,
,749,1499,0.0,85.0,0.2650950729777043,
,774,1549,0.0,87.0,0.3714451820278691,
,799,1599,0.0,87.0,0.2615268108523707,
,824,1649,0.0,90.0,0.17338359248902419,
,849,1699,0.0,93.0,0.6108420180337889,
,874,1749,0.0,93.0,0.3556265175425494,
,899,1799,0.0,97.0,0.1257544644050385,
,924,1849,0.0,97.0,0.3093708001747895,
,949,1899,0.0,97.0,0.24364245274348137,
,974,1949,0.0,100.0,0.2903071246454933,
,999,1999,0.0,100.0,0.25490086339583484,
2.0,1000,2001,,,,
,1024,2049,0.0,105.0,0.2091083505530708,
,1049,2099,0.0,105.0,0.18558986288846238,
,1074,2149,0.0,110.0,0.24461516625473542,
,1099,2199,0.0,111.0,0.0955188867835533,
,1124,2249,0.0,113.0,0.1975962608700101,
,1149,2299,0.0,113.0,0.13228284368524448,
,1174,2349,0.0,116.0,0.31456797972326983,
,1199,2399,0.0,116.0,0.10067154675350101,
,1224,2449,0.0,118.0,0.06669650468617422,
,1249,2499,0.0,119.0,0.1545844919720797,
,1274,2549,0.0,122.0,0.10892935949081244,
,1299,2599,0.0,122.0,0.020242955715544086,3.0
,1324,2649,0.0,124.0,0.08441315187055466,
,1349,2699,0.0,126.0,0.05461070296947413,
,1374,2749,0.0,126.0,0.0840901824941084,
,1399,2799,0.0,128.0,0.16543753102145858,
,1424,2849,0.0,129.0,0.08242865850607828,
,1449,2899,0.0,132.0,0.05821884663973045,
,1474,2949,0.0,132.0,0.054544672846618174,
,1499,2999,0.0,135.0,0.03230207819949813,
3.0,1500,3001,,,,
,1524,3049,0.0,135.0,0.08139588155893727,
,1549,3099,0.0,140.0,0.03394413856533956,
,1574,3149,0.0,143.0,0.03786928975914917,
,1599,3199,1.0,150.0,0.06428137547221745,
,1624,3249,0.0,152.0,0.034275371739729894,
,1649,3299,0.0,155.0,0.011128090849664474,
,1674,3349,0.0,157.0,0.055683715569948354,
,1699,3399,1.0,163.0,0.05056403337514196,
,1724,3449,0.0,168.0,0.04948602735751148,
,1749,3499,0.0,169.0,0.07348747718078354,
,1774,3549,0.0,170.0,0.05388985504548754,
,1799,3599,0.0,175.0,0.08837680924166141,
,1824,3649,0.0,175.0,0.05252250702192401,
,1849,3699,0.0,181.0,0.03616695672986309,
,1874,3749,0.0,182.0,0.049440202347178365,
,1899,3799,0.0,182.0,0.0550372856019861,
,1924,3849,0.0,184.0,0.041068777043812656,
,1949,3899,0.0,188.0,0.04355184105889765,6.0
,1974,3949,0.0,191.0,0.02222895602889391,
,1999,3999,0.0,193.0,0.04014963888679573,
5.0,2000,4001,,,,
,2024,4049,0.0,200.0,0.058528637374061554,
,2049,4099,0.0,204.0,0.024947683652486292,
,2074,4149,0.0,205.0,0.13174997882018616,
,2099,4199,0.0,209.0,0.10628658717960962,
,2124,4249,1.0,213.0,0.0342079762767614,
,2149,4299,0.0,217.0,0.08384598989042585,
,2174,4349,0.0,223.0,0.07789869242342852,
,2199,4399,0.0,226.0,0.04038504743783948,
,2224,4449,0.0,228.0,0.060371043376878,
,2249,4499,0.0,233.0,0.07526619254990921,
,2274,4549,0.0,238.0,0.027999200643426744,
,2299,4599,0.0,242.0,0.16910144762077653,
,2324,4649,0.0,243.0,0.17185191994586502,
,2349,4699,0.0,246.0,0.03943523596383972,
,2374,4749,0.0,251.0,0.04584486182418308,
,2399,4799,0.0,252.0,0.023579176139294365,
,2424,4849,1.0,259.0,0.026243458348335136,
,2449,4899,0.0,261.0,0.06618907436987086,
,2474,4949,0.0,263.0,0.06862650850437707,
,2499,4999,0.0,265.0,0.03421369720360138,
4.0,2500,5001,,,,
,2524,5049,0.0,268.0,0.03338296251804789,
,2549,5099,0.0,268.0,0.04233542577272829,
,2574,5149,0.0,276.0,0.0593738943863367,
,2599,5199,0.0,278.0,0.016097789577585668,
,2624,5249,0.0,280.0,0.04668109448581168,
,2649,5299,0.0,283.0,0.03696118033089175,
,2674,5349,0.0,287.0,0.037744389482327965,
,2699,5399,1.0,290.0,0.09688697947784512,
,2724,5449,0.0,291.0,0.10636613974424798,
,2749,5499,0.0,296.0,0.056008420948895805,9.0
,2774,5549,0.0,301.0,0.07927059878738388,
,2799,5599,1.0,305.0,0.19582239251636122,
,2824,5649,0.0,309.0,0.036906871636298196,
,2849,5699,1.0,314.0,0.06104543885382189,
,2874,5749,0.0,320.0,0.07988161958923622,
,2899,5799,0.0,325.0,0.13439033415325832,
,2924,5849,0.0,332.0,0.06690821673283981,
,2949,5899,0.0,334.0,0.0787838580927856,
,2974,5949,0.0,337.0,0.11979393045640366,
,2999,5999,0.0,337.0,0.08719682263820266,
5.0,3000,6001,,,,
,3024,6049,0.0,343.0,0.7236642727925096,
,3049,6099,0.0,346.0,0.39438232137899165,
,3074,6149,0.0,347.0,1.1031705633325712,
,3099,6199,0.0,348.0,0.618688443384885,
,3124,6249,0.0,352.0,1.2016843705070417,
,3149,6299,0.0,355.0,0.36489962698629,
,3174,6349,0.0,358.0,0.622189101607334,
,3199,6399,0.0,361.0,0.5743615226397241,
,3224,6449,0.0,365.0,0.48503650277133153,
,3249,6499,0.0,369.0,0.2233403357492616,
,3274,6549,0.0,374.0,0.4124206567157593,
,3299,6599,0.0,375.0,0.47439220075763977,
,3324,6649,0.0,377.0,0.39701801006309895,
,3349,6699,0.0,380.0,0.7504873699890943,
,3374,6749,0.0,380.0,0.589932436641657,
,3399,6799,0.0,385.0,1.1774518152940743,
,3424,6849,0.0,385.0,0.5039085640368808,
,3449,6899,0.0,389.0,0.6281593394992104,
,3474,6949,0.0,391.0,1.3386305288691227,
,3499,6999,0.0,394.0,6.489177452639154,
1.0,3500,7001,,,,
,3524,7049,0.0,399.0,1.4210832129011413,
,3549,7099,0.0,399.0,0.7989675778159553,
,3574,7149,0.0,403.0,4.913678243073301,
,3599,7199,1.0,407.0,5.927586547884896,
,3624,7249,0.0,407.0,3.851486299438769,
,3649,7299,0.0,409.0,2.585029480359048,
,3674,7349,0.0,412.0,49.82847881709325,
,3699,7399,0.0,414.0,231.99891662237223,
,3724,7449,0.0,414.0,557.0055880013457,
,3749,7499,0.0,414.0,263.34673498879584,
,3774,7549,0.0,415.0,256.0635824503447,
,3799,7599,0.0,416.0,139.98812476728943,
,3824,7649,0.0,416.0,38.65747309193374,
,3849,7699,0.0,416.0,73.62603502058711,
,3874,7749,0.0,416.0,54.555752316003264,
,3899,7799,0.0,416.0,203.61742919362496,
,3924,7849,0.0,416.0,95.00345885409071,1.0
,3949,7899,0.0,416.0,44.35319429732145,
,3974,7949,0.0,420.0,107.29957489302407,
,3999,7999,0.0,420.0,77.2522327222126,
3.0,4000,8001,,,,
,4024,8049,0.0,422.0,52.64927970754772,
,4049,8099,0.0,423.0,39.64929751911158,
,4074,8149,0.0,423.0,121.15207279983628,
,4099,8199,0.0,423.0,176.68333524146763,
,4124,8249,0.0,428.0,272.9596993639582,
,4149,8299,0.0,432.0,98.08094769641447,
,4174,8349,0.0,432.0,169.0025315606766,
,4199,8399,0.0,432.0,85.15865584087848,
,4224,8449,0.0,432.0,89.81757860753589,
,4249,8499,0.0,436.0,208.7768652662278,
,4274,8549,0.0,438.0,51.731329564956376,
,4299,8599,0.0,444.0,40.6913487549569,
,4324,8649,0.0,445.0,274.6389468665273,
,4349,8699,0.0,448.0,147.56748721727138,
,4374,8749,0.0,448.0,37.1730866511081,
,4399,8799,0.0,448.0,37.68333442552125,
,4424,8849,0.0,449.0,65.23076033159298,
,4449,8899,0.0,449.0,32.635221962813155,
,4474,8949,0.0,456.0,11.40680275117489,
,4499,8999,0.0,462.0,35.90337939925954,
3.0,4500,9001,,,,
,4524,9049,0.0,463.0,47.056533719358036,
,4549,9099,0.0,470.0,56.27961733865482,
,4574,9149,0.0,473.0,28.834763752237556,
,4599,9199,0.0,473.0,18.265332389031222,
,4624,9249,0.0,480.0,21.08508327609796,
,4649,9299,0.0,481.0,14.406071726347378,
,4674,9349,0.0,482.0,13.856053388472136,
,4699,9399,0.0,482.0,13.286301783350005,
,4724,9449,0.0,483.0,44.59904508036344,
,4749,9499,0.0,485.0,6.549742069533813,
,4774,9549,0.0,487.0,15.021573581166813,
,4799,9599,0.0,487.0,28.739591448712304,
,4824,9649,1.0,488.0,7.135262280699895,
,4849,9699,0.0,491.0,9.971381216937761,
,4874,9749,0.0,492.0,7.463828794133688,
,4899,9799,0.0,497.0,19.943653276833306,
,4924,9849,0.0,500.0,6.200986544248267,
,4949,9899,0.0,501.0,6.624203127059574,
,4974,9949,0.0,502.0,10.236908900156118,
,4999,9999,0.0,503.0,12.972090040371087,
9.0,5000,10001,,,,
,5024,10049,0.0,508.0,5.80022301524578,
,5049,10099,0.0,510.0,7.634888489746801,
,5074,10149,0.0,510.0,4.6839241012960535,
,5099,10199,0.0,512.0,5.664794938606328,
,5124,10249,0.0,512.0,3.378571050180422,
,5149,10299,0.0,513.0,2.623641397216664,
,5174,10349,0.0,513.0,2.108905601900811,
,5199,10399,0.0,513.0,3.4198317640893676,
,5224,10449,0.0,520.0,2.155835138375322,
,5249,10499,0.0,520.0,3.223549143122886,
,5274,10549,0.0,520.0,5.631031350654718,
,5299,10599,0.0,524.0,3.4951100390313843,
,5324,10649,0.0,524.0,3.7310837662293044,
,5349,10699,0.0,529.0,2.9302019793283507,
,5374,10749,0.0,531.0,2.1403611083361462,
,5399,10799,0.0,531.0,2.024405857213095,
,5424,10849,0.0,532.0,3.305150116007913,
,5449,10899,0.0,532.0,16.434555557125066,
,5474,10949,0.0,532.0,1.8383967459298354,
,5499,10999,0.0,534.0,1.1914865574397124,
2.0,5500,11001,,,,
,5524,11049,0.0,534.0,3.1468238838849873,
,5549,11099,0.0,534.0,1.5306906904024091,
,5574,11149,0.0,534.0,1.7744373479574111,
,5599,11199,0.0,537.0,1.6533848525327042,
,5624,11249,0.0,537.0,0.7359145257994519,
,5649,11299,0.0,538.0,2.012224843192383,
,5674,11349,0.0,538.0,2.525420644443989,
,5699,11399,0.0,539.0,2.448018755046252,
,5724,11449,0.0,541.0,2.1750995967656435,
,5749,11499,0.0,541.0,2.0376002280300103,
,5774,11549,0.0,542.0,1.0943200066415106,
,5799,11599,0.0,543.0,0.8217562689162278,
,5824,11649,0.0,544.0,1.4808067330557213,
,5849,11699,0.0,545.0,0.8530929492615771,
,5874,11749,0.0,545.0,0.36039388079781837,
