validation_reward_epoch,epoch,step,reward,total_reward,loss,episode_reward
0.0,0,1,,,,
,24,49,0.0,3.0,0.026431718841195107,
,49,99,0.0,5.0,0.028945092111825943,
,74,149,0.0,10.0,0.05258097127079964,
,99,199,0.0,11.0,0.08486340939998627,
,124,249,0.0,15.0,0.19762857258319855,
,149,299,0.0,19.0,0.11902027577161789,
,174,349,0.0,21.0,0.19348521530628204,
,199,399,0.0,26.0,0.6513717770576477,
,224,449,0.0,31.0,0.5488129258155823,
,249,499,0.0,35.0,1.0849192142486572,
,274,549,0.0,39.0,1.872804045677185,
,299,599,0.0,42.0,1.661800742149353,
,324,649,0.0,43.0,3.466517686843872,
,349,699,0.0,43.0,8.719576835632324,
,374,749,0.0,45.0,2.8861045837402344,
,399,799,0.0,45.0,2.6473875045776367,
,424,849,0.0,46.0,4.226296424865723,
,449,899,0.0,46.0,4.48795223236084,
,474,949,0.0,48.0,6.455865859985352,
,499,999,0.0,49.0,6.783197402954102,
0.0,500,1001,,,,
,524,1049,0.0,50.0,9.396711349487305,
,549,1099,0.0,50.0,16.233842849731445,
,574,1149,0.0,50.0,22.03594398498535,
,599,1199,0.0,50.0,13.861491203308105,
,624,1249,0.0,51.0,76.94898986816406,
,649,1299,0.0,52.0,66.67374420166016,
,674,1349,0.0,54.0,49.81017303466797,
,699,1399,0.0,55.0,78.34908294677734,3.0
,724,1449,0.0,55.0,64.50138092041016,
,749,1499,0.0,56.0,73.71792602539062,
,774,1549,0.0,60.0,293.2274475097656,
,799,1599,0.0,62.0,496.7939453125,
,824,1649,0.0,62.0,121.25919342041016,
,849,1699,0.0,63.0,116.3543472290039,
,874,1749,0.0,63.0,134.65289306640625,
,899,1799,0.0,63.0,72.22830963134766,
,924,1849,0.0,63.0,150.4578857421875,
,949,1899,0.0,65.0,503.54058837890625,
,974,1949,0.0,65.0,85.81053161621094,
,999,1999,0.0,68.0,55.813392639160156,
5.0,1000,2001,,,,
,1024,2049,0.0,69.0,95.21980285644531,
,1049,2099,0.0,71.0,217.111328125,
,1074,2149,0.0,73.0,156.9392547607422,
,1099,2199,0.0,75.0,513.9034423828125,
,1124,2249,0.0,76.0,1185.8304443359375,
,1149,2299,0.0,78.0,156.13485717773438,
,1174,2349,0.0,78.0,115.67462921142578,
,1199,2399,0.0,80.0,51.338226318359375,
,1224,2449,0.0,80.0,705.8674926757812,
,1249,2499,0.0,81.0,377.04595947265625,
,1274,2549,0.0,86.0,113.18191528320312,
