validation_reward_epoch,epoch,step,reward,total_reward,loss,episode_reward
0.0,0,1,,,,
,24,49,0.0,5.0,0.05265619978308678,
,49,99,0.0,9.0,0.08579942584037781,
,74,149,0.0,17.0,0.09729719161987305,
,99,199,0.0,24.0,0.06802918016910553,
,124,249,0.0,30.0,0.2004581242799759,
,149,299,0.0,36.0,0.06596098840236664,
,174,349,0.0,44.0,0.14175213873386383,
,199,399,0.0,44.0,0.055930424481630325,
,224,449,0.0,50.0,0.1264408677816391,
,249,499,0.0,57.0,0.36866065859794617,
,274,549,0.0,63.0,0.16781073808670044,
,299,599,0.0,69.0,0.2642265856266022,
,324,649,0.0,75.0,0.2706519365310669,
,349,699,0.0,80.0,1.7093908786773682,
,374,749,0.0,86.0,0.9363120198249817,
,399,799,0.0,86.0,0.3166539967060089,
,424,849,0.0,87.0,0.6581268906593323,
,449,899,0.0,90.0,0.8095136284828186,
,474,949,1.0,96.0,0.5885197520256042,
,499,999,0.0,102.0,0.5961015224456787,
3.0,500,1001,,,,
,524,1049,0.0,106.0,0.46116167306900024,
,549,1099,0.0,111.0,0.34716567397117615,
,574,1149,0.0,116.0,0.5278615355491638,
,599,1199,0.0,122.0,0.5389083027839661,
,624,1249,0.0,124.0,0.8520925641059875,
,649,1299,0.0,128.0,0.8692997097969055,
,674,1349,0.0,132.0,0.4712993800640106,
,699,1399,0.0,137.0,1.0463438034057617,
,724,1449,0.0,141.0,0.38241398334503174,
,749,1499,0.0,143.0,0.24067503213882446,
,774,1549,0.0,150.0,0.24686940014362335,
,799,1599,1.0,155.0,0.9903221130371094,
,824,1649,0.0,159.0,0.440402090549469,
,849,1699,0.0,161.0,0.47308847308158875,
,874,1749,0.0,167.0,0.2678903639316559,
,899,1799,0.0,170.0,0.8890379667282104,
,924,1849,0.0,177.0,0.5014447569847107,
,949,1899,0.0,183.0,0.8314216732978821,
,974,1949,0.0,188.0,0.36486726999282837,
,999,1999,0.0,189.0,0.16812126338481903,
2.0,1000,2001,,,,
,1024,2049,0.0,190.0,0.6719110608100891,
,1049,2099,0.0,192.0,0.40418073534965515,
,1074,2149,0.0,198.0,0.1557544618844986,
,1099,2199,0.0,200.0,0.3884512186050415,
